語                初出t 初出者  使用者数  使用者（生存最終t）
仮説                 4 ミナ      5  ケイ,サト,ハル,ミナ,リン (t16)
ホメオスタシス仮説          3 ユキ      3  ケイ,ハル,ユキ (t6)
ナス仮説              14 サト      3  サト,ハル,ミナ (t16)
ランプ説              21 リン      3  サト,ハル,リン (t27)
上限20キャップ説         29 ハル      3  サト,ハル,ミナ (t30)
さんの残量依存仮説          5 ミナ      2  サト,ミナ (t5)
固有の完全固定値説          6 ミナ      2  ケイ,ミナ (t10)
個体固有の固定値説          8 ユキ      2  サト,ユキ (t9)
ン依存説              10 ミナ      2  サト,ミナ (t18)
個体固定値説            14 ケイ      2  ケイ,ユキ (t20)
5説                14 ユキ      2  ケイ,ユキ (t20)
1固定説              15 ハル      2  ケイ,ハル (t17)
上限20説             28 サト      2  サト,リン (t29)
