語                初出t 初出者  使用者数  使用者（生存最終t）
仮説                 4 サト      3  サト,ハル,リン (t25)
個人固定値説             6 ミナ      3  ハル,ミナ,ユキ (t11)
んの上限キャップ説         20 サト      3  ケイ,サト,リン (t22)
20キャップ説           24 リン      3  サト,ハル,リン (t25)
0キャップ説            27 ハル      3  ケイ,ハル,リン (t28)
比例仮説               4 ユキ      2  ハル,ユキ (t5)
9説                11 リン      2  ケイ,リン (t30)
action依存説         17 ハル      2  サト,ハル (t19)
とは無関係という説         19 ハル      2  ケイ,ハル (t20)
キャップ説             19 ミナ      2  サト,ミナ (t26)
という仮説             24 ハル      2  サト,ハル (t30)
9固定説              24 ケイ      2  ケイ,サト (t29)
20説               24 サト      2  サト,ミナ (t25)
